"HGNC.ID"	"Approved.symbol"	"Approved.name"	"Previous.symbols"	"Alias.symbols"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"HGNC:31130"	"ABCB10P4"	"ABCB10 pseudogene 4"	""	""	100132289	"ENSG00000260053"
"HGNC:42"	"ABCB11"	"ATP binding cassette subfamily B member 11"	"BSEP, PFIC2"	"ABC16, SPGP, PFIC-2, PGY4"	8647	"ENSG00000073734"
"HGNC:51"	"ABCC1"	"ATP binding cassette subfamily C member 1"	"MRP, MRP1"	"GS-X"	4363	"ENSG00000103222"
"HGNC:53"	"ABCC2"	"ATP binding cassette subfamily C member 2"	"CMOAT"	"DJS, MRP2, cMRP"	1244	"ENSG00000023839"
"HGNC:54"	"ABCC3"	"ATP binding cassette subfamily C member 3"	""	"MRP3, cMOAT2, EST90757, MLP2, MOAT-D"	8714	"ENSG00000108846"
"HGNC:55"	"ABCC4"	"ATP binding cassette subfamily C member 4"	""	"MRP4, EST170205, MOAT-B, MOATB"	10257	"ENSG00000125257"
"HGNC:56"	"ABCC5"	"ATP binding cassette subfamily C member 5"	""	"MRP5, SMRP, EST277145, MOAT-C"	10057	"ENSG00000114770"
"HGNC:57"	"ABCC6"	"ATP binding cassette subfamily C member 6"	"ARA, PXE"	"MRP6, EST349056, MLP1, URG7"	368	"ENSG00000091262"
"HGNC:33352"	"ABCC6P1"	"ATP binding cassette subfamily C member 6 pseudogene 1"	""	""	653190	"ENSG00000256340"
"HGNC:33353"	"ABCC6P2"	"ATP binding cassette subfamily C member 6 pseudogene 2"	""	""	730013	"ENSG00000255277"
"HGNC:59"	"ABCC8"	"ATP binding cassette subfamily C member 8"	"SUR, HRINS"	"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2"	6833	"ENSG00000006071"
"HGNC:60"	"ABCC9"	"ATP binding cassette subfamily C member 9"	""	"SUR2, CMD1O"	10060	"ENSG00000069431"
"HGNC:52"	"ABCC10"	"ATP binding cassette subfamily C member 10"	""	"EST182763, MRP7, SIMRP7"	89845	"ENSG00000124574"
"HGNC:14639"	"ABCC11"	"ATP binding cassette subfamily C member 11"	""	"MRP8"	85320	"ENSG00000121270"
"HGNC:14640"	"ABCC12"	"ATP binding cassette subfamily C member 12"	""	"MRP9"	94160	"ENSG00000140798"
"HGNC:16022"	"ABCC13"	"ATP binding cassette subfamily C member 13 (pseudogene)"	""	"PRED6, C21orf73, ABCC13P"	150000	"ENSG00000243064"
"HGNC:61"	"ABCD1"	"ATP binding cassette subfamily D member 1"	"ALD"	"AMN, ALDP, adrenoleukodystrophy"	215	"ENSG00000101986"
"HGNC:63"	"ABCD1P2"	"ATP binding cassette subfamily D member 1 pseudogene 2"	""	"bA453N3.6"	26983	"ENSG00000215151"
"HGNC:64"	"ABCD1P3"	"ATP binding cassette subfamily D member 1 pseudogene 3"	""	""	26982	"ENSG00000261233"
"HGNC:65"	"ABCD1P4"	"ATP binding cassette subfamily D member 1 pseudogene 4"	""	""	26957	"ENSG00000225293"
"HGNC:42662"	"ABCD1P5"	"ATP binding cassette subfamily D member 1 pseudogene 5"	""	""	642762	"ENSG00000214330"
"HGNC:66"	"ABCD2"	"ATP binding cassette subfamily D member 2"	"ALDL1"	"ALDR, ALDRP"	225	"ENSG00000173208"
"HGNC:67"	"ABCD3"	"ATP binding cassette subfamily D member 3"	"PXMP1"	"PMP70, ZWS2"	5825	"ENSG00000117528"
"HGNC:68"	"ABCD4"	"ATP binding cassette subfamily D member 4"	"PXMP1L"	"PMP69, P70R, EST352188"	5826	"ENSG00000119688"
"HGNC:69"	"ABCE1"	"ATP binding cassette subfamily E member 1"	"RNASEL1, RNASELI, RNS4I"	"RLI, OABP, RLI1"	6059	"ENSG00000164163"
"HGNC:70"	"ABCF1"	"ATP binding cassette subfamily F member 1"	"ABC50"	"EST123147"	23	"ENSG00000204574"
"HGNC:71"	"ABCF2"	"ATP binding cassette subfamily F member 2"	""	"EST133090, ABC28, M-ABC1, HUSSY-18"	10061	"ENSG00000033050"
"HGNC:54751"	"ABCF2-H2BE1"	"ABCF2-H2BE1 readthrough"	""	""	114483834	"ENSG00000285292"
"HGNC:48841"	"ABCF2P1"	"ATP binding cassette subfamily F member 2 pseudogene 1"	""	""	344653	"ENSG00000242159"
"HGNC:48842"	"ABCF2P2"	"ATP binding cassette subfamily F member 2 pseudogene 2"	""	""	100422059	"ENSG00000228769"
"HGNC:72"	"ABCF3"	"ATP binding cassette subfamily F member 3"	""	"EST201864"	55324	"ENSG00000161204"
"HGNC:73"	"ABCG1"	"ATP binding cassette subfamily G member 1"	""	"ABC8"	9619	"ENSG00000160179"
"HGNC:74"	"ABCG2"	"ATP binding cassette subfamily G member 2 (Junior blood group)"	""	"EST157481, MXR, BCRP, ABCP, CD338"	9429	"ENSG00000118777"
"HGNC:13884"	"ABCG4"	"ATP binding cassette subfamily G member 4"	""	"WHITE2"	64137	"ENSG00000172350"
"HGNC:13886"	"ABCG5"	"ATP binding cassette subfamily G member 5"	""	"STSL"	64240	"ENSG00000138075"
"HGNC:13887"	"ABCG8"	"ATP binding cassette subfamily G member 8"	""	"GBD4"	64241	"ENSG00000143921"
"HGNC:17553"	"ABHD1"	"abhydrolase domain containing 1"	""	"LABH1, FLJ36128"	84696	"ENSG00000143994"
"HGNC:18717"	"ABHD2"	"abhydrolase domain containing 2, acylglycerol lipase"	""	"LABH2"	11057	"ENSG00000140526"
"HGNC:18718"	"ABHD3"	"abhydrolase domain containing 3, phospholipase"	""	"LABH3"	171586	"ENSG00000158201"
"HGNC:20154"	"ABHD4"	"abhydrolase domain containing 4, N-acyl phospholipase B"	""	"FLJ12816"	63874	"ENSG00000100439"
"HGNC:21396"	"ABHD5"	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	""	"CGI-58, NCIE2"	51099	"ENSG00000011198"
"HGNC:21398"	"ABHD6"	"abhydrolase domain containing 6, acylglycerol lipase"	""	""	57406	"ENSG00000163686"
"HGNC:23759"	"ABHD8"	"abhydrolase domain containing 8"	""	"FLJ11743, MGC14280, MGC2512"	79575	"ENSG00000127220"
"HGNC:25656"	"ABHD10"	"abhydrolase domain containing 10, depalmitoylase"	""	"FLJ11342"	55347	"ENSG00000144827"
"HGNC:16407"	"ABHD11"	"abhydrolase domain containing 11"	"WBSCR21"	"PP1226"	83451	"ENSG00000106077"
"HGNC:18289"	"ABHD11-AS1"	"ABHD11 antisense RNA 1 (tail to tail)"	"WBSCR26, LINC00035"	"NCRNA00035"	171022	"ENSG00000225969"
"HGNC:15868"	"ABHD12"	"abhydrolase domain containing 12, lysophospholipase"	"C20orf22"	"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A"	26090	"ENSG00000100997"
"HGNC:19837"	"ABHD12B"	"abhydrolase domain containing 12B"	"C14orf29"	"BEM46L3"	145447	"ENSG00000131969"
"HGNC:20293"	"ABHD13"	"abhydrolase domain containing 13"	"C13orf6"	"bA153I24.2, FLJ14906, BEM46L1"	84945	"ENSG00000139826"
"HGNC:24538"	"ABHD14A"	"abhydrolase domain containing 14A"	""	"DKFZP564O243, DORZ1"	25864	"ENSG00000248487"
"HGNC:38856"	"ABHD14A-ACY1"	"ABHD14A-ACY1 readthrough"	""	""	100526760	"ENSG00000114786"
"HGNC:28235"	"ABHD14B"	"abhydrolase domain containing 14B"	""	"MGC15429, CIB"	84836	"ENSG00000114779"
"HGNC:26971"	"ABHD15"	"abhydrolase domain containing 15"	""	""	116236	"ENSG00000168792"
"HGNC:13921"	"ABHD16A"	"abhydrolase domain containing 16A, phospholipase"	"BAT5"	"NG26, D6S82E"	7920	"ENSG00000204427"
"HGNC:16128"	"ABHD16B"	"abhydrolase domain containing 16B"	"C20orf135"	"dJ591C20.1"	140701	"ENSG00000183260"
"HGNC:28756"	"ABHD17A"	"abhydrolase domain containing 17A, depalmitoylase"	"C19orf27, FAM108A1"	"MGC5244"	81926	"ENSG00000129968"
"HGNC:28394"	"ABHD17AP1"	"ABHD17A pseudogene 1"	"FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P"	"C1orf47"	728917	"ENSG00000198658"
"HGNC:34041"	"ABHD17AP3"	"ABHD17A pseudogene 3"	"FAM108A4, FAM108A4P"	""	648359	"ENSG00000250536"
"HGNC:34042"	"ABHD17AP4"	"ABHD17A pseudogene 4"	"FAM108A5, FAM108A5P"	""	729495	"ENSG00000229107"
"HGNC:34043"	"ABHD17AP5"	"ABHD17A pseudogene 5"	"FAM108A6, FAM108A6P"	""	91219	"ENSG00000263366"
"HGNC:34044"	"ABHD17AP6"	"ABHD17A pseudogene 6"	"FAM108A7P"	""	644988	"ENSG00000226981"
"HGNC:38508"	"ABHD17AP7"	"ABHD17A pseudogene 7"	"FAM108A8P"	""	100133212	"ENSG00000260864"
"HGNC:38509"	"ABHD17AP8"	"ABHD17A pseudogene 8"	"FAM108A9P"	""	647144	"ENSG00000260540"
"HGNC:38510"	"ABHD17AP9"	"ABHD17A pseudogene 9"	"FAM108A10P"	""	100132251	"ENSG00000261536"
"HGNC:24278"	"ABHD17B"	"abhydrolase domain containing 17B, depalmitoylase"	"C9orf77, FAM108B1"	"CGI-67"	51104	"ENSG00000107362"
"HGNC:26925"	"ABHD17C"	"abhydrolase domain containing 17C, depalmitoylase"	"FAM108C1"	""	58489	"ENSG00000136379"
"HGNC:26111"	"ABHD18"	"abhydrolase domain containing 18"	"C4orf29"	"FLJ21106"	80167	"ENSG00000164074"
"HGNC:11320"	"ABI1"	"abl interactor 1"	"SSH3BP1"	"E3B1, ABI-1"	10006	"ENSG00000136754"
"HGNC:20035"	"ABI1P1"	"abl interactor 1 pseudogene 1"	"SSH3BP1P, ABI1P"	""	326268	"ENSG00000271484"
"HGNC:24011"	"ABI2"	"abl interactor 2"	""	"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2"	10152	"ENSG00000138443"
"HGNC:29859"	"ABI3"	"ABI family member 3"	""	"NESH, SSH3BP3"	51225	"ENSG00000108798"
"HGNC:17265"	"ABI3BP"	"ABI family member 3 binding protein"	""	"NESHBP, DKFZP586L2024, TARSH"	25890	"ENSG00000154175"
"HGNC:1364"	"ABITRAM"	"actin binding transcription modulator"	"C9orf6, FAM206A"	"CG-8, FLJ20457, Simiate"	54942	"ENSG00000119328"
"HGNC:39851"	"ABITRAMP1"	"ABITRAM pseudogene 1"	"FAM206BP"	""	390403	"ENSG00000251106"
"HGNC:76"	"ABL1"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"ABL"	"JTK7, c-ABL, p150"	25	"ENSG00000097007"
"HGNC:77"	"ABL2"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"ABLL"	"ARG"	27	"ENSG00000143322"
"HGNC:78"	"ABLIM1"	"actin binding LIM protein 1"	"LIMAB1, ABLIM"	"abLIM, limatin"	3983	"ENSG00000099204"
"HGNC:19195"	"ABLIM2"	"actin binding LIM protein family member 2"	""	"KIAA1808"	84448	"ENSG00000163995"
"HGNC:29132"	"ABLIM3"	"actin binding LIM protein family member 3"	""	"KIAA0843"	22885	"ENSG00000173210"
"HGNC:79"	"ABO"	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	""	"A3GALNT, A3GALT1"	28	"ENSG00000175164"
"HGNC:81"	"ABR"	"ABR activator of RhoGEF and GTPase"	""	"MDB"	29	"ENSG00000159842"
"HGNC:30655"	"ABRA"	"actin binding Rho activating protein"	""	"STARS"	137735	"ENSG00000174429"
"HGNC:21230"	"ABRACL"	"ABRA C-terminal like"	"C6orf115"	"PRO2013, HSPC280, Costars"	58527	"ENSG00000146386"
"HGNC:25829"	"ABRAXAS1"	"abraxas 1, BRCA1 A complex subunit"	"CCDC98, FAM175A"	"FLJ13614, ABRA1, ABRAXAS"	84142	"ENSG00000163322"
"HGNC:28975"	"ABRAXAS2"	"abraxas 2, BRISC complex subunit"	"KIAA0157, FAM175B"	"Em:AC068896.4, ABRO1"	23172	"ENSG00000165660"
"HGNC:17369"	"ABT1"	"activator of basal transcription 1"	""	"Esf2"	29777	"ENSG00000146109"
"HGNC:39557"	"ABT1P1"	"activator of basal transcription 1 pseudogene 1"	""	""	100420695	"ENSG00000250496"
"HGNC:18275"	"ABTB1"	"ankyrin repeat and BTB domain containing 1"	""	"BPOZ, EF1ABP, Btb3, BTBD21"	80325	"ENSG00000114626"
"HGNC:23842"	"ABTB2"	"ankyrin repeat and BTB domain containing 2"	""	"DKFZP586C1619, BTBD22, ABTB2A"	25841	"ENSG00000166016"
"HGNC:82"	"ACAA1"	"acetyl-CoA acyltransferase 1"	""	""	30	"ENSG00000060971"
"HGNC:83"	"ACAA2"	"acetyl-CoA acyltransferase 2"	""	"DSAEC"	10449	"ENSG00000167315"
"HGNC:84"	"ACACA"	"acetyl-CoA carboxylase alpha"	"ACAC, ACC"	"ACC1"	31	"ENSG00000278540"
"HGNC:85"	"ACACB"	"acetyl-CoA carboxylase beta"	""	"HACC275, ACC2, ACCB"	32	"ENSG00000076555"
"HGNC:87"	"ACAD8"	"acyl-CoA dehydrogenase family member 8"	""	""	27034	"ENSG00000151498"
"HGNC:21497"	"ACAD9"	"acyl-CoA dehydrogenase family member 9"	""	"NPD002, MGC14452"	28976	"ENSG00000177646"
"HGNC:21597"	"ACAD10"	"acyl-CoA dehydrogenase family member 10"	""	"MGC5601"	80724	"ENSG00000111271"
"HGNC:30211"	"ACAD11"	"acyl-CoA dehydrogenase family member 11"	""	"FLJ12592"	84129	"ENSG00000240303"
"HGNC:88"	"ACADL"	"acyl-CoA dehydrogenase long chain"	""	"LCAD, ACAD4"	33	"ENSG00000115361"
"HGNC:89"	"ACADM"	"acyl-CoA dehydrogenase medium chain"	""	"MCAD, MCADH, ACAD1"	34	"ENSG00000117054"
"HGNC:90"	"ACADS"	"acyl-CoA dehydrogenase short chain"	""	"SCAD, ACAD3"	35	"ENSG00000122971"
"HGNC:91"	"ACADSB"	"acyl-CoA dehydrogenase short/branched chain"	""	"SBCAD, ACAD7"	36	"ENSG00000196177"
"HGNC:92"	"ACADVL"	"acyl-CoA dehydrogenase very long chain"	""	"VLCAD, LCACD, ACAD6"	37	"ENSG00000072778"
"HGNC:319"	"ACAN"	"aggrecan"	"MSK16, CSPG1, AGC1"	"CSPGCP"	176	"ENSG00000157766"
"HGNC:16467"	"ACAP1"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"CENTB1"	"KIAA0050"	9744	"ENSG00000072818"
"HGNC:16469"	"ACAP2"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"CENTB2"	"KIAA0041, CNT-B2"	23527	"ENSG00000114331"
"HGNC:16754"	"ACAP3"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	"CENTB5"	"KIAA1716"	116983	"ENSG00000131584"
"HGNC:93"	"ACAT1"	"acetyl-CoA acetyltransferase 1"	"ACAT"	"THIL"	38	"ENSG00000075239"
"HGNC:94"	"ACAT2"	"acetyl-CoA acetyltransferase 2"	""	""	39	"ENSG00000120437"
"HGNC:15453"	"ACBD3"	"acyl-CoA binding domain containing 3"	"GOLPH1, GOCAP1"	"GCP60, PAP7"	64746	"ENSG00000182827"
"HGNC:40701"	"ACBD3-AS1"	"ACBD3 antisense RNA 1"	""	"RP11-275I14.4"	107985353	"ENSG00000234478"
"HGNC:23337"	"ACBD4"	"acyl-CoA binding domain containing 4"	""	"FLJ13322"	79777	"ENSG00000181513"
"HGNC:23338"	"ACBD5"	"acyl-CoA binding domain containing 5"	""	"DKFZp434A2417, KIAA1996"	91452	"ENSG00000107897"
"HGNC:23339"	"ACBD6"	"acyl-CoA binding domain containing 6"	""	"MGC2404"	84320	"ENSG00000230124"
"HGNC:17715"	"ACBD7"	"acyl-CoA binding domain containing 7"	""	"FLJ38219, bA455B2.2"	414149	"ENSG00000176244"
"HGNC:23989"	"ACCS"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	""	"PHACS, ACS"	84680	"ENSG00000110455"
"HGNC:34391"	"ACCSL"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like"	""	""	390110	"ENSG00000205126"
"HGNC:25070"	"ACD"	"ACD shelterin complex subunit and telomerase recruitment factor"	""	"Ptop, Pip1, Tpp1, Tint1"	65057	"ENSG00000102977"
"HGNC:2707"	"ACE"	"angiotensin I converting enzyme"	"DCP1"	"ACE1, CD143"	1636	"ENSG00000159640"
"HGNC:13557"	"ACE2"	"angiotensin I converting enzyme 2"	""	""	59272	"ENSG00000130234"
"HGNC:44365"	"ACE3P"	"angiotensin I converting enzyme 3, pseudogene"	""	""	100129123	"ENSG00000224353"
"HGNC:18356"	"ACER1"	"alkaline ceramidase 1"	"ASAH3"	""	125981	"ENSG00000167769"
"HGNC:23675"	"ACER2"	"alkaline ceramidase 2"	"ASAH3L"	"FLJ41587, ALKCDase2"	340485	"ENSG00000177076"
"HGNC:54674"	"ACER2P1"	"ACER2 pseudogene 1"	""	""	645978	"ENSG00000180105"
"HGNC:16066"	"ACER3"	"alkaline ceramidase 3"	"PHCA"	"FLJ11238, APHC"	55331	"ENSG00000078124"
"HGNC:108"	"ACHE"	"acetylcholinesterase (Cartwright blood group)"	"YT"	""	43	"ENSG00000087085"
"HGNC:17066"	"ACIN1"	"apoptotic chromatin condensation inducer 1"	"ACINUS"	"KIAA0670, fSAP152"	22985	"ENSG00000100813"
"HGNC:4035"	"ACKR1"	"atypical chemokine receptor 1 (Duffy blood group)"	"FY, DARC"	"CCBP1, GPD, Dfy, CD234"	2532	"ENSG00000213088"
"HGNC:1565"	"ACKR2"	"atypical chemokine receptor 2"	"CMKBR9, CCBP2"	"CCR10, D6, CCR9"	1238	"ENSG00000144648"
"HGNC:23692"	"ACKR3"	"atypical chemokine receptor 3"	"CMKOR1, CXCR7"	"RDC1, GPR159"	57007	"ENSG00000144476"
"HGNC:1611"	"ACKR4"	"atypical chemokine receptor 4"	"CCRL1"	"CCR11, CCBP2, VSHK1, CCX-CKR, PPR1"	51554	"ENSG00000129048"
"HGNC:21142"	"ACKR4P1"	"ACKR4 pseudogene 1"	"CCRL1P, CCRL1P1"	"dJ509I19.4"	285737	"ENSG00000225415"
"HGNC:115"	"ACLY"	"ATP citrate lyase"	""	"ATPCL, CLATP, ACL"	47	"ENSG00000131473"
"HGNC:19288"	"ACMSD"	"aminocarboxymuconate semialdehyde decarboxylase"	""	""	130013	"ENSG00000153086"
"HGNC:34504"	"ACNATP"	"acyl-CoA:amino acid N-acyltransferase pseudogene"	"BAATP1"	""	347275	"ENSG00000227411"
"HGNC:117"	"ACO1"	"aconitase 1"	"IREB1"	"IRP1, IREBP"	48	"ENSG00000122729"
"HGNC:118"	"ACO2"	"aconitase 2"	""	"ACONM"	50	"ENSG00000100412"
"HGNC:33904"	"ACOD1"	"aconitate decarboxylase 1"	"IRG1"	"CAD"	730249	"ENSG00000102794"
"HGNC:33128"	"ACOT1"	"acyl-CoA thioesterase 1"	""	"ACH2, CTE-1, LACH2"	641371	"ENSG00000184227"
